sqft_living,bedrooms,bathrooms,price
2160,4,2.5,295000.0
4860,6,3.5,1067000.0
890,2,2.0,207950.0
2810,4,2.75,699900.0
3400,5,2.5,1280000.0
1580,4,1.5,452000.0
1680,3,2.0,370000.0
1300,3,1.75,232000.0
2820,5,2.5,669950.0
1510,3,2.0,397500.0
1230,2,2.5,490000.0
2110,4,2.0,725000.0
3080,3,2.75,299000.0
1490,2,1.5,625000.0
2120,3,2.5,437500.0
3180,4,2.5,650000.0
1490,2,1.0,475000.0
1930,3,2.0,342000.0
2770,4,2.5,1197350.0
1670,3,1.5,280000.0
1330,2,1.75,240000.0
1210,3,1.0,529000.0
1190,3,1.0,442000.0
1540,2,1.0,615000.0
4030,4,3.75,1485000.0
2430,4,1.75,585000.0
2600,4,2.5,480000.0
4410,5,3.5,1095000.0
1330,4,1.0,290000.0
1900,3,1.75,615000.0
1100,2,1.0,300000.0
1980,3,1.0,308000.0
2400,3,2.5,750000.0
4760,4,2.25,2250000.0
3180,4,3.25,890000.0
1190,3,1.0,288000.0
630,2,1.0,190000.0
2530,5,3.0,515000.0
1690,4,1.5,235000.0
940,2,1.0,275000.0
1240,2,2.0,727500.0
3040,4,2.5,650000.0
1590,4,1.0,365000.0
2500,3,1.75,662000.0
1780,3,2.5,270500.0
1360,2,1.5,200000.0
4740,4,3.25,970000.0
1010,3,1.5,160000.0
1040,3,1.0,204000.0
1610,3,2.25,358000.0
1570,4,1.75,452000.0
1510,2,2.0,595000.0
1360,3,2.0,249000.0
1970,4,2.5,346900.0
1560,4,2.5,280000.0
2320,4,1.75,318888.0
2120,3,2.25,530000.0
2120,3,2.25,375000.0
3350,4,2.5,910000.0
2380,4,2.5,782000.0
1070,2,2.0,259950.0
2300,4,2.75,315000.0
1320,2,1.0,215000.0
2180,3,1.75,705000.0
4380,3,3.0,1450000.0
1790,3,1.75,451000.0
750,2,1.0,261000.0
1300,3,1.5,396000.0
2990,4,2.5,725000.0
4640,7,3.5,1950000.0
1400,4,1.0,238000.0
2750,6,1.75,750000.0
2050,4,2.5,331500.0
2230,4,3.0,460000.0
2340,4,2.25,404950.0
2870,3,2.5,880000.0
4120,4,2.5,863000.0
2080,3,1.75,638700.0
1840,3,2.5,435000.0
1180,3,1.0,260000.0
2160,5,2.75,671500.0
1180,3,1.0,610000.0
1160,2,0.75,405000.0
1830,4,2.5,338900.0
3200,4,4.0,720000.0
2560,5,3.0,442000.0
2550,5,2.75,650000.0
1330,3,1.75,263500.0
1220,2,1.0,300000.0
1805,3,2.5,266000.0
2320,4,2.5,530000.0
1384,3,1.0,180000.0
2720,3,2.5,619000.0
1820,3,1.5,264000.0
2130,2,2.25,730000.0
2060,4,2.25,439000.0
1420,4,1.75,268500.0
1510,3,1.75,330000.0
2160,3,2.5,640000.0
3180,3,2.5,900000.0
2110,3,2.25,370000.0
2060,3,2.0,685000.0
1830,3,1.5,505000.0
1820,3,1.75,265000.0
1610,3,2.5,290000.0
1780,4,2.5,296000.0
1840,4,2.5,360000.0
1460,3,1.75,240500.0
1400,2,2.5,372500.0
3370,3,2.5,595000.0
3590,4,3.0,515000.0
3200,4,2.25,1220000.0
1670,2,1.75,507000.0
2420,4,2.0,399950.0
1430,3,1.75,185000.0
1440,3,1.75,460000.0
1450,3,2.25,435500.0
3550,4,2.75,469000.0
1270,2,3.0,531000.0
940,2,1.0,443500.0
1670,3,2.0,223000.0
3100,4,3.5,590000.0
1100,2,2.5,340000.0
1870,3,2.0,650000.0
1930,3,2.5,533600.0
2540,3,2.75,695000.0
1280,3,1.75,242000.0
1820,3,2.25,425000.0
1490,3,2.25,525000.0
1880,3,2.5,485000.0
1250,3,1.0,175000.0
1440,3,2.0,210000.0
1920,3,2.5,260000.0
2060,3,2.5,577000.0
1210,3,1.5,200000.0
1760,2,1.75,605000.0
990,3,1.0,325000.0
960,3,1.0,289500.0
1660,3,2.5,559950.0
1900,3,1.75,1042500.0
1270,3,2.25,543500.0
3250,4,2.25,480000.0
960,3,1.0,218000.0
1330,2,1.75,565000.0
2080,3,1.75,426700.0
2690,3,2.5,650000.0
890,2,1.0,542000.0
1070,3,1.75,415000.0
1200,3,1.0,214000.0
1360,3,1.5,245000.0
2050,3,2.0,314500.0
3000,3,1.5,1120000.0
1300,2,2.0,378000.0
2250,4,2.5,305000.0
3740,5,2.75,595000.0
1660,3,2.5,729500.0
2360,3,2.5,430000.0
1760,3,1.75,240000.0
1680,3,1.75,545000.0
1320,3,1.75,530000.0
870,1,1.0,157000.0
1260,4,1.0,425000.0
1000,3,1.0,220000.0
2020,4,1.75,521000.0
1920,3,1.0,325000.0
2150,3,2.0,597500.0
1470,3,2.5,337000.0
3180,3,2.5,1000000.0
3930,3,2.5,3070000.0
990,3,1.0,495000.0
2770,4,3.5,748000.0
1250,3,1.5,888000.0
1140,3,1.75,269900.0
2250,4,2.5,496500.0
1640,3,2.5,475000.0
1255,3,1.5,312000.0
1290,3,1.0,323000.0
1300,3,1.75,331000.0
1220,3,1.5,306000.0
2630,4,2.5,655000.0
1950,3,1.5,290000.0
3160,4,3.25,1250000.0
1550,3,1.75,460000.0
1700,4,2.5,435000.0
2510,4,2.75,664000.0
1800,4,1.75,865000.0
1800,3,1.75,385000.0
1870,3,2.25,497000.0
1010,2,1.0,280000.0
1120,2,1.5,188000.0
2090,3,1.0,478500.0
4370,4,3.5,1145000.0
1440,3,2.0,222000.0
2580,4,3.0,799000.0
3190,4,2.5,609900.0
2380,4,3.5,413000.0
1420,4,1.0,400000.0
2990,5,2.75,802541.0
2680,3,2.5,320000.0
2730,4,2.5,507000.0
1220,3,1.0,387500.0
1500,3,1.0,396000.0
1830,3,1.75,373000.0
4570,5,2.5,1484900.0
2470,4,2.25,359900.0
800,2,1.0,410000.0
2900,4,2.5,690000.0
1410,3,2.0,245000.0
2830,5,2.5,700000.0
1680,4,1.75,268000.0
1760,3,1.75,225000.0
2240,4,2.25,980000.0
1380,2,1.0,795000.0
820,2,1.0,195000.0
2180,4,2.0,480000.0
1400,4,2.0,485000.0
880,2,1.0,130000.0
1060,2,1.0,325000.0
1530,3,1.75,440000.0
2480,4,1.75,550000.0
1490,3,1.75,310000.0
3660,3,2.5,530000.0
2340,4,2.5,390000.0
1450,3,1.75,243000.0
2210,4,2.5,639000.0
1130,4,1.0,215000.0
1550,5,1.75,405000.0
1710,4,1.75,250000.0
1010,3,1.5,405500.0
2660,6,2.25,452000.0
2660,6,2.25,730000.0
1300,3,2.0,267000.0
1670,3,2.5,289950.0
960,2,1.0,565000.0
4670,4,3.25,1578000.0
2140,3,2.5,636000.0
2520,5,3.0,350000.0
1650,3,1.5,320000.0
1440,2,1.75,210000.0
1050,2,1.0,245000.0
1470,3,1.75,328000.0
4230,4,2.25,985000.0
1970,3,1.75,501000.0
1540,3,2.25,315000.0
2090,3,2.75,403000.0
2380,3,2.0,550000.0
2156,4,2.5,347500.0
2070,4,2.25,365000.0
1910,3,1.0,588000.0
1920,3,1.75,605000.0
3400,3,3.25,1300000.0
1400,3,2.0,233000.0
2210,4,2.5,360000.0
1170,2,1.75,459000.0
2100,3,2.0,740000.0
1160,3,1.0,305000.0
1500,3,1.0,395000.0
2940,4,2.5,560000.0
2010,4,1.75,650000.0
2170,3,2.5,449950.0
1430,3,1.5,517500.0
1510,4,1.5,435000.0
1150,3,1.0,329999.0
2150,3,1.75,950000.0
1370,3,1.0,447000.0
2380,2,2.5,699800.0
1370,3,1.75,850000.0
1600,3,1.75,316500.0
3750,5,3.5,942500.0
3950,2,2.25,1310000.0
2400,4,2.25,856600.0
2830,5,1.5,405600.0
2440,4,2.5,565000.0
1190,3,2.25,400000.0
1400,3,2.0,330000.0
2730,4,2.75,374950.0
2390,3,2.75,405300.0
2060,3,2.25,560000.0
2490,4,2.25,824000.0
1100,3,1.75,260000.0
2430,4,2.5,760000.0
3170,3,2.5,405000.0
2640,4,2.5,429900.0
1130,3,1.5,341500.0
1940,5,2.0,465250.0
1100,2,2.0,450000.0
1200,3,1.0,390000.0
2000,3,2.25,420000.0
1890,3,2.5,269950.0
1910,4,2.0,493000.0
2710,4,2.5,370000.0
4860,5,4.25,2250000.0
1250,3,1.0,305000.0
1590,3,1.75,400000.0
1240,3,1.5,320000.0
2000,4,1.0,715000.0
3610,6,2.75,650000.0
1930,5,1.75,218000.0
1280,2,1.0,500000.0
2090,4,2.0,460000.0
1940,3,1.5,232500.0
1800,3,2.5,408200.0
1730,3,1.75,522000.0
2810,4,2.5,675000.0
3550,4,3.5,1355000.0
1330,4,1.0,249950.0
750,2,1.0,210000.0
1760,4,1.0,429950.0
3200,4,2.5,737500.0
1740,4,2.0,710000.0
2100,3,2.5,470000.0
4270,4,3.5,1100000.0
1340,3,2.0,650000.0
3190,4,2.5,1216000.0
1630,3,2.5,422120.0
2990,5,2.5,625000.0
1550,4,1.0,385200.0
1690,3,2.25,500000.0
1960,4,2.25,308000.0
2390,3,2.75,565000.0
2600,3,2.5,581000.0
1950,3,2.0,361000.0
1250,3,1.0,345000.0
1180,2,2.25,419000.0
1680,3,2.5,347000.0
2220,4,2.25,625000.0
4890,4,4.25,2400000.0
2660,3,3.25,379000.0
1150,3,1.5,310000.0
1130,2,2.0,250000.0
2760,5,2.75,682000.0
1430,3,2.0,246500.0
1490,3,1.0,325000.0
2030,4,2.5,310950.0
3010,3,2.0,1100000.0
1810,3,1.0,287500.0
1810,3,1.0,431000.0
970,3,1.0,226000.0
2010,3,1.75,825000.0
1300,4,1.0,175000.0
1260,3,1.5,465750.0
2610,4,2.25,659000.0
1910,3,1.75,595000.0
1780,3,2.25,350000.0
1900,4,2.25,270000.0
2450,6,2.25,662500.0
1380,3,1.75,249900.0
1920,3,1.75,324500.0
1350,2,1.75,430000.0
1350,2,1.75,419950.0
2510,4,1.75,285000.0
2470,4,2.5,332000.0
1660,4,1.75,282000.0
1340,3,1.0,320000.0
1620,3,1.0,428750.0
2300,3,2.25,330000.0
2000,4,3.5,456500.0
1640,3,2.25,352000.0
1530,4,2.0,664000.0
4000,3,1.75,628000.0
1610,3,1.75,512000.0
2070,3,2.0,254000.0
1900,4,2.5,535800.0
1050,3,1.0,287653.0
1520,3,2.5,438000.0
2390,4,1.75,450000.0
2400,5,2.75,327000.0
1790,4,2.5,370500.0
1720,3,2.5,265000.0
2980,4,2.75,450000.0
1520,3,1.0,425000.0
1150,3,1.75,166600.0
380,1,0.75,245000.0
910,3,1.0,565000.0
1650,3,1.75,539900.0
2480,3,3.5,910000.0
2050,4,2.5,280000.0
1420,3,2.25,275000.0
3460,3,2.5,467000.0
1500,3,2.5,457500.0
1320,2,1.0,381156.0
2180,5,2.5,289999.0
1830,3,1.75,642450.0
1620,3,2.25,469950.0
2920,3,2.0,795000.0
3300,4,2.5,785000.0
3060,3,2.25,860000.0
3064,0,0.0,1095000.0
1530,3,1.0,147500.0
1910,3,2.0,390000.0
1020,3,1.0,229000.0
1150,3,1.0,185000.0
1260,3,1.5,414900.0
1920,4,2.0,200000.0
1800,4,2.25,225000.0
2040,3,1.75,720000.0
2200,4,2.5,930000.0
3200,5,2.5,1270000.0
2400,5,3.25,700000.0
1140,2,1.5,466000.0
1330,3,1.5,374000.0
1940,3,2.5,480000.0
3000,3,2.5,740000.0
1820,4,1.0,1010000.0
2910,4,2.5,395000.0
1090,2,1.0,340000.0
1230,3,2.0,209000.0
1710,5,2.5,431650.0
3160,5,2.5,980000.0
2680,3,2.5,660000.0
2190,4,2.25,730000.0
1260,3,1.75,291500.0
2970,4,3.5,905000.0
2570,4,2.5,800000.0
3810,4,3.5,839900.0
1010,1,1.5,200000.0
1480,3,2.0,300000.0
1250,3,1.75,530000.0
1654,3,2.25,314950.0
1410,3,1.75,255000.0
2160,5,2.75,550000.0
1400,3,1.0,435000.0
1420,3,1.75,234000.0
2500,4,2.25,615000.0
1410,3,2.0,205000.0
2100,4,1.75,384000.0
1750,3,2.5,324000.0
2070,3,1.75,645000.0
1570,3,3.25,570000.0
1920,3,2.5,324000.0
1000,2,1.0,270000.0
2120,5,1.5,290000.0
1440,3,2.0,250000.0
1660,3,1.75,342000.0
1340,3,1.5,255000.0
2380,3,2.25,800000.0
1560,3,1.75,451000.0
2780,4,2.5,990000.0
1860,4,2.5,288400.0
2390,3,1.5,420000.0
1370,2,2.75,359000.0
2570,4,3.0,390000.0
1320,3,2.5,300000.0
2520,5,2.5,545000.0
1250,3,1.0,288349.0
1560,3,2.25,299900.0
2330,4,2.0,891000.0
3660,3,2.0,1200000.0
2790,4,2.5,378000.0
1060,2,1.0,299995.0
2020,3,2.5,253000.0
1580,3,2.25,350000.0
2020,4,3.0,565000.0
970,2,1.0,315000.0
1490,4,3.0,570000.0
4390,5,3.5,971000.0
2750,5,2.5,915000.0
2150,4,1.5,419000.0
1810,4,1.75,260000.0
2230,3,3.0,1321500.0
2430,3,1.0,369950.0
3680,3,2.5,1029900.0
1410,5,1.0,435000.0
1330,3,1.75,601000.0
1490,3,1.0,460500.0
2020,3,2.5,720000.0
3130,4,2.5,851000.0
2670,4,3.0,550000.0
1980,4,1.0,700000.0
2100,3,1.75,323000.0
1350,3,1.0,345500.0
2140,4,1.5,378000.0
2208,4,2.0,650000.0
1010,3,2.0,385000.0
970,2,1.0,425000.0
1520,4,2.0,210000.0
2740,4,2.5,630000.0
1570,3,1.75,335000.0
1320,3,1.0,196500.0
2550,4,2.75,582800.0
1560,3,1.75,440000.0
2360,4,2.25,752500.0
1330,3,1.75,532500.0
1070,3,1.0,265000.0
1510,3,1.25,397500.0
1710,3,2.5,524250.0
2790,4,2.75,765000.0
2620,4,2.5,648000.0
2970,5,2.5,469500.0
1050,3,1.75,237500.0
1280,3,1.0,216000.0
1030,3,1.0,427200.0
1900,3,2.25,280000.0
3070,5,3.0,718000.0
1760,2,2.75,420000.0
930,2,1.0,379000.0
880,2,1.0,326100.0
1360,3,2.5,535000.0
2130,4,2.75,283000.0
1480,3,1.0,260000.0
1500,4,1.0,399000.0
1670,3,2.25,484950.0
2060,4,1.75,640000.0
2160,4,2.5,585000.0
2780,4,2.0,645000.0
1490,3,2.0,253000.0
740,2,1.0,178500.0
1860,4,2.5,291000.0
1590,2,2.75,199950.0
850,2,1.0,553500.0
1030,2,1.0,189950.0
1850,3,2.0,289000.0
1830,4,2.0,700000.0
1560,3,2.0,270000.0
1730,4,1.75,258000.0
1930,3,2.5,530000.0
